The season after autumn and before spring,4,Spring,Summer,Fall,Winter
A place where animals of many kinds are kept so that people can go to look at them,3,Toilet,America,Zoo,Aquarium
Knowledge about the world especially based on examining testing and proving facts,4,English,Math,History,Science
A hot dark brown drink that has a slightly bitter taste,1,Coffee,Milk,Tea,Water
Water that falls in small drops from clouds in the sky,3,Candy,Coke,Rain,Rainbow
A business that keeps and lends money and provides other financial services,2,Gas Station,Bank,Starbucks,My house
A large musical instrument that has a long row of black and white keys,4,Guitar,Whistle,Drum,Piano
A large area of land that is covered with trees,2,Forrest Gump,Forest,Sea,Mountain
Soft white pieces of frozen water that fall from the sky in cold weather and cover the ground,3,Ice Cream,Milk,Snow,Chocolate
To get something by paying money for it,1,Buy,Steal,Rob,Break
To produce a musical sound with your voice,3,Laugh,Cry,Sing,Shout
To move yourself through water using your arms and legs,2,Walk,Swim,Run,Fly
To clean something using water and a type of soap,4,Crush,Destroy,Write,Wash
To make your mouth curve upwards in order to be friendly or because you are happy or amused,1,Smile,Cry,Angry,Concentrate
To hit someone or something hard with your fist,2,Kick,Punch,Nod,Bow
To make it possible or easier for someone to do something by doing part of their work or by giving them something they need,1,Help,Dispose,Dump,Run
To let someone see something,2,Turn,Show,See,Cut
A situation that you have a lot of things to do,4,Boring,Sleepy,Hungry,Busy
A small piece of paper that you buy and stick onto an envelope or package before posting it,2,Bar,Stamp,Pen,Chair
Likely to happen or exist at a time after the present,1,Future,Past,Present,Two years ago
