The mass of things like fine threads that grows on your head,3,Chair,Chore,Hair,Ramen
A piece of clothing made of soft material that you wear on your foot inside,2,Notebook,Socks,Eraser,Shelf
A space or an area of glass in the wall of a building or vehicle that lets in light,4,Macbook,Tesla,Alibaba,Window
Work that a student at school is asked to do at home,1,Homework,Doctor,Play,Picture
A female parent of a child,4,Daughter,Son,Father,Mother
The people who work for an official organization whose job is to catch criminals and make sure that people obey the law,2,Doctor,Police,Donald Trump,Teacher
A completely round shape,1,Circle,Triangle,Square,Roof
The large area of salty water that covers much of the Earth’s surface,2,Mountain,Sea,School,My House
A vehicle with four wheels and an engine that can carry a small number of passengers,4,Bike,Toilet,Stroller,Car
A farm animal with short legs a fat body and a curved tail,3,Cat,Crow,Pig,Horse
An alcoholic drink made from malt and hops,1,Beer,Water,Canada Dry,Tea
A long curved tropical fruit with a yellow skin,2,Apple,Banana,Mango,Grape
A very large African monkey that is the largest of the apes,4,Dolphin,Shark,Bear,Gorilla
To rest your mind and body usually at night when you are lying in bed with your eyes closed,2,Study,Sleep,Laugh,Touch
A situation in which there is no war or fighting,3,Heaven,Hell,Peace,Party
Someone’s female child,2,Son,Daughter,Mom,Dad
A building or group of buildings in which goods are produced in large quantities using machines,4,Toilet,Tokyo Tower,Effel Tower,Factory
What you earn by working and can use to buy things,1,Money,Salt,Banana,Condom
A metal weapon which shoots bullets or shells,3,Sausage,Whistle,Gun,Sord
A building where people are kept as a punishment for a crime,4,Library,Starbucks,Kitchen,Prison
